-DOCSTART- -X- O
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

INSULINA -X- _ B-ACTIVE_PRINCIPLE
RETARDADA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
42 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

QUETIAPINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
3 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
RECUBIERTO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
15 -X- _ I-DURATION
dias -X- _ I-DURATION

CARBONATO -X- _ B-ACTIVE_PRINCIPLE
DE -X- _ I-ACTIVE_PRINCIPLE
LITIO -X- _ I-ACTIVE_PRINCIPLE
300 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
750 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
300 -X- _ O
mg -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
450 -X- _ O
mg -X- _ O

INSULINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
UI/ML -X- _ I-FORMA_FARMA
(ULTRARRAPIDA) -X- _ I-FORMA_FARMA
3ML -X- _ I-FORMA_FARMA
DISPOSITIVO -X- _ I-FORMA_FARMA
MULTIDOSIS -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

WARFARINA -X- _ B-ACTIVE_PRINCIPLE
5 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

INSULINA -X- _ B-ACTIVE_PRINCIPLE
RETARDADA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
(20 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
, -X- _ O
6 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
al -X- _ B-PERIODICITY
acostarse -X- _ I-PERIODICITY
) -X- _ O
SUBCUTÁNEA -X- _ B-ADMIN
diaria -X- _ B-PERIODICITY
Segun -X- _ O
esquema -X- _ O

LACTULOSA -X- _ B-ACTIVE_PRINCIPLE
65% -X- _ B-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
200 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
20 -X- _ B-ADMIN
G -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

POTASIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
50 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CAPTOPRIL -X- _ B-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
0,5 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CARVEDILOL -X- _ B-ACTIVE_PRINCIPLE
6,25 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
10 -X- _ I-DURATION
dias -X- _ I-DURATION

DESMOPRESINA -X- _ B-ACTIVE_PRINCIPLE
0,2 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDOS -X- _ I-FORMA_FARMA
0,05 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
Pauta -X- _ O
variable -X- _ O

AMLODIPINO -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
5 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
dos -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
meses -X- _ I-DURATION

ÁCIDO -X- _ B-ACTIVE_PRINCIPLE
ACETILSALICÍLICO -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
RECUBIERTO -X- _ I-FORMA_FARMA
ENTÉRICO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
1 -X- _ I-PERIODICITY
dias -X- _ I-PERIODICITY

POTASIO -X- _ B-ACTIVE_PRINCIPLE
GLUCONATO -X- _ I-ACTIVE_PRINCIPLE
31,2 -X- _ B-FORMA_FARMA
G/100 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
ELIXIR -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

TEOFILINA -X- _ B-ACTIVE_PRINCIPLE
80 -X- _ B-FORMA_FARMA
MG/15ML -X- _ I-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
250 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2,6 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ALOPURINOL -X- _ B-ACTIVE_PRINCIPLE
300 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
2 -X- _ I-DURATION
meses -X- _ I-DURATION

GLUCOSA -X- _ B-ACTIVE_PRINCIPLE
5 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
6 -X- _ I-DURATION
horas -X- _ I-DURATION

INSULINA -X- _ B-ACTIVE_PRINCIPLE
RETARDADA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
30 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
1 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ATRACURIO -X- _ B-ACTIVE_PRINCIPLE
BESILATO -X- _ I-ACTIVE_PRINCIPLE
25 -X- _ B-FORMA_FARMA
MG/2,5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2,5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
104 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

HIDRATO -X- _ B-ACTIVE_PRINCIPLE
CLORAL -X- _ I-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
ORAL/RECTAL -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
5 -X- _ B-ADMIN
ML -X- _ I-ADMIN
RECTAL -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O

GLUCOSA -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
PARENTERAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
+ -X- _ O
10 -X- _ O
UI -X- _ O
INSULINA -X- _ B-ACTIVE_PRINCIPLE
CRTISTALINA -X- _ I-ACTIVE_PRINCIPLE

KETAMINA -X- _ B-ACTIVE_PRINCIPLE
500 -X- _ B-FORMA_FARMA
MG/10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
6 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ERTAPENEM -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
GR -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
PERFUSION -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
G -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
9 -X- _ I-DURATION
dias -X- _ I-DURATION
1º -X- _ O
dosis -X- _ O
: -X- _ O
8.3.16. -X- _ O
Completar -X- _ O
10 -X- _ O
días -X- _ O

CLOTRIMAZOL -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
CREMA -X- _ I-FORMA_FARMA
DÉRMICA -X- _ I-FORMA_FARMA
TUBO -X- _ I-FORMA_FARMA
20 -X- _ I-FORMA_FARMA
G -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
APLICACIÓN -X- _ I-ADMIN
USO -X- _ I-ADMIN
CUTÁNEO -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

RISPERIDONA -X- _ B-ACTIVE_PRINCIPLE
3 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1,5 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
0 -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
1.5 -X- _ O
MG -X- _ O

PREDNISONA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
2,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
14 -X- _ I-DURATION
dias -X- _ I-DURATION

POLIVITAMÍNICO -X- _ B-ACTIVE_PRINCIPLE
PEDIÁTRICO -X- _ I-ACTIVE_PRINCIPLE
INYECTABLE -X- _ B-FORMA_FARMA
ENDOVENOSO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
hours -X- _ I-PERIODICITY

FLUCONAZOL -X- _ B-ACTIVE_PRINCIPLE
150 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
CÁPSULA -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
CÁPSULA -X- _ I-ADMIN
DURA -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
2 -X- _ I-PERIODICITY
dias -X- _ I-PERIODICITY

DIAZEPAM -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
30 -X- _ I-DURATION
dias -X- _ I-DURATION

MANITOL -X- _ B-ACTIVE_PRINCIPLE
15 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
MATRAZ -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
AMPOLLA -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
VOLUMEN: -X- _ O

FUROSEMIDA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
40 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

INSULINA -X- _ B-ACTIVE_PRINCIPLE
CRISTALINA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
16 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

LÁGRIMAS -X- _ B-ACTIVE_PRINCIPLE
ARTIFICIALES -X- _ I-ACTIVE_PRINCIPLE
SOLUCIÓN -X- _ B-FORMA_FARMA
OFTÁLMICA -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
20 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
GOTAS -X- _ I-ADMIN
OFTÁLMICA -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY
durante -X- _ B-DURATION
30 -X- _ I-DURATION
dias -X- _ I-DURATION

FLUTICASONA -X- _ B-ACTIVE_PRINCIPLE
250 -X- _ I-ACTIVE_PRINCIPLE
MCG/DOSIS -X- _ I-ACTIVE_PRINCIPLE
+ -X- _ I-ACTIVE_PRINCIPLE
SALMETEROL -X- _ I-ACTIVE_PRINCIPLE
25 -X- _ I-ACTIVE_PRINCIPLE
MCG/DOSIS -X- _ I-ACTIVE_PRINCIPLE
INHALADOR -X- _ B-FORMA_FARMA
120 -X- _ I-FORMA_FARMA
DOSIS -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
INHALATORIA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
4 -X- _ I-PERIODICITY
dias -X- _ I-PERIODICITY

KETOROLACO -X- _ B-ACTIVE_PRINCIPLE
TROMETAMOL -X- _ I-ACTIVE_PRINCIPLE
30 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O
si -X- _ O
EVA -X- _ O
>4/10 -X- _ O

FENOTEROL -X- _ B-ACTIVE_PRINCIPLE
BROMHIDRATO -X- _ I-ACTIVE_PRINCIPLE
50 -X- _ I-ACTIVE_PRINCIPLE
µg/dosis+IPATROPIO -X- _ I-ACTIVE_PRINCIPLE
BROMURO -X- _ I-ACTIVE_PRINCIPLE
20 -X- _ I-ACTIVE_PRINCIPLE
µg/dosis -X- _ I-ACTIVE_PRINCIPLE
solución -X- _ B-FORMA_FARMA
para -X- _ I-FORMA_FARMA
inhalación -X- _ I-FORMA_FARMA
en -X- _ I-FORMA_FARMA
envase -X- _ I-FORMA_FARMA
a -X- _ I-FORMA_FARMA
presión -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
SOLUCIÓN -X- _ I-ADMIN
PARA -X- _ I-ADMIN
PULVERIZACIÓN -X- _ I-ADMIN
INHALATORIA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
7 -X- _ I-DURATION
dias -X- _ I-DURATION

INMUNOGLOBULINA -X- _ B-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
5 -X- _ B-FORMA_FARMA
G/100 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
100 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
15 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
AMPOLLA -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
dias -X- _ I-DURATION

TIAMINA -X- _ B-ACTIVE_PRINCIPLE
30 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
9 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
5 -X- _ I-DURATION
dias -X- _ I-DURATION

PROGESTERONA -X- _ B-ACTIVE_PRINCIPLE
200 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
CÁPSULA -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
CÁPSULA -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
Y -X- _ I-ADMIN
VAGINAL -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

ATORVASTATINA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
0-0-2 -X- _ O

AZITROMICINA -X- _ B-ACTIVE_PRINCIPLE
500 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
500 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

PREDNISONA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
30 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
7 -X- _ I-DURATION
dias -X- _ I-DURATION

ATORVASTATINA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
4 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

LEVOTIROXINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MCG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
50 -X- _ B-ADMIN
¿G -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
50 -X- _ O
ug -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
0 -X- _ O

FENTANILO -X- _ B-ACTIVE_PRINCIPLE
0,5 -X- _ B-FORMA_FARMA
MG/10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
dias -X- _ I-DURATION

PASTA -X- _ B-ACTIVE_PRINCIPLE
LASSAR -X- _ I-ACTIVE_PRINCIPLE
30 -X- _ B-FORMA_FARMA
G -X- _ I-FORMA_FARMA
UNGÜENTO -X- _ I-FORMA_FARMA
DÉRMICO -X- _ I-FORMA_FARMA
CAJA -X- _ I-FORMA_FARMA
30 -X- _ I-FORMA_FARMA
G -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
APLICACIÓN -X- _ I-ADMIN
USO -X- _ I-ADMIN
CUTÁNEO -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
14 -X- _ I-DURATION
dias -X- _ I-DURATION

POLIETILENGLICOL -X- _ B-ACTIVE_PRINCIPLE
3350 -X- _ B-FORMA_FARMA
5 -X- _ I-FORMA_FARMA
G -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
SOBRE -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
